Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,CreateActor,1,0,1,1.0,1,1,0.0,0.008620689655172414,0.0,1,1,1,1,1,1,1,1,1,1,1
grpc,CreateAtespace,1,0,0,0.0,0,0,0.0,0.008620689655172414,0.0,0,0,0,0,0,0,0,0,0,0,0
http,GluttonChurnRAM,12,0,131,134.33333333333334,131,139,0.0,0.10344827586206896,0.0,130,130,140,140,140,140,140,140,140,140,140
http,GluttonFillRAM,1,0,8313,8313.0,8313,8313,0.0,0.008620689655172414,0.0,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300
http,GluttonPing,12,0,4,3.6666666666666665,3,4,38.0,0.10344827586206896,0.0,4,4,4,4,4,4,4,4,4,4,4
http,GluttonReadRAM,12,0,3390,3098.1666666666665,13,3390,1073741824.0,0.10344827586206896,0.0,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
grpc,ResumeActor,11,0,2700,2752.181818181818,2640,2971,0.0,0.09482758620689655,0.0,2700,2800,2800,2800,2900,3000,3000,3000,3000,3000,3000
grpc,ResumeActorColdStart,1,0,1042,1042.0,1042,1042,0.0,0.008620689655172414,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
grpc,SuspendActor,11,0,3100,3176.181818181818,3008,3508,0.0,0.09482758620689655,0.0,3100,3200,3300,3300,3400,3500,3500,3500,3500,3500,3500
,Aggregated,62,0,2700,1829.0645161290322,0,8313,207821005.5483871,0.5344827586206896,0.0,2700,3000,3200,3400,3400,3400,3500,8300,8300,8300,8300
