time	name	duration_ms	latency_source	trace_id	err
2026-09-18T02:56:18.38650417Z	CreateAtespace	0.672	server	cd14ec2d5cb0f9c89c6cd096892f7615	
2026-09-18T02:56:18.389669424Z	CreateActor	1.574	server	79b586fa29294e960b514fedfe226a9a	
2026-09-18T02:56:19.432668769Z	ResumeActorColdStart	1042.234	server	932fd4f2fa4db9b3cbf3ebe6344d1984	
2026-09-18T02:56:27.746222305Z	GluttonFillRAM	8313.487	client	de4e2680325dcc73cd8beb438a16f11d	
2026-09-18T02:56:27.759454074Z	GluttonReadRAM	13.148	client	c46ba2a7ee878171068a371db10bc0ec	
2026-09-18T02:56:27.891392253Z	GluttonChurnRAM	131.887	client	e627388d1ec91755fec2745e57bd77fa	
2026-09-18T02:56:27.895384756Z	GluttonPing	3.840	client	fd4cf45a4bd8beacfa7876b3d7f437a1	
2026-09-18T02:56:30.904506188Z	SuspendActor	3008.363	server	826f51937ed9ebd2422c2a65ffcb9918	
2026-09-18T02:56:33.729754596Z	ResumeActor	2734.152	server	a4adf1327e5744b3e45778cdbde9377a	
2026-09-18T02:56:37.12045754Z	GluttonReadRAM	3390.617	client	b3dc5e1cb9a79579ee268e3bc2d05c08	
2026-09-18T02:56:37.257367531Z	GluttonChurnRAM	136.843	client	91d23e1abc2b673a455f2f54d8ec20ee	
2026-09-18T02:56:37.261375249Z	GluttonPing	3.920	client	833aa2ca1ed1d27b46df72a43b1dd02c	
2026-09-18T02:56:40.363886577Z	SuspendActor	3101.445	server	5a17af1b9b694d30a01bb6bfe49a13a0	
2026-09-18T02:56:43.486849204Z	ResumeActor	2855.967	server	045517889dfbc0c9f28e661f4337e52a	
2026-09-18T02:56:46.864110978Z	GluttonReadRAM	3377.199	client	7ebb15c5d0b5da11320810d9c85d4dd3	
2026-09-18T02:56:47.000373721Z	GluttonChurnRAM	136.201	client	61814147c134e8aec4a20e83366cba68	
2026-09-18T02:56:47.004575433Z	GluttonPing	4.089	client	857c61838f372df93bc97f16988404d1	
2026-09-18T02:56:50.066934032Z	SuspendActor	3061.673	server	efa00d705e94dd2642c6be492cad29c7	
2026-09-18T02:56:53.263520774Z	ResumeActor	2798.585	server	3cc3a0a8b977bc0a7b651e1dcb77fca9	
2026-09-18T02:56:56.641154792Z	GluttonReadRAM	3377.573	client	c1ba70e532fa0c4dd6d8cd4787dc51be	
2026-09-18T02:56:56.775742031Z	GluttonChurnRAM	134.516	client	ab00c6938c5755a73c2a0982ecfa4f5e	
2026-09-18T02:56:56.780194106Z	GluttonPing	4.360	client	97b59b88f984ff2b6b923b55ad198cff	
2026-09-18T02:57:00.073362395Z	SuspendActor	3292.471	server	86ccce33c3116b770c14ff1d205b64be	
2026-09-18T02:57:03.052588087Z	ResumeActor	2696.879	server	668e0d9d322ccdb5a16b103a1b39ce3b	
