File: tarutil.test
Build ID: 5c7eea3494404485ed013c3a44cbccf26deeeec6
Type: cpu
Time: 2026-09-18 14:03:29 UTC
Duration: 146.05ms, Total samples = 100ms (68.47%)
Showing nodes accounting for 100ms, 100% of 100ms total
Showing top 30 nodes out of 77
      flat  flat%   sum%        cum   cum%
      80ms 80.00% 80.00%       80ms 80.00%  internal/runtime/syscall/linux.Syscall6
      10ms 10.00% 90.00%       10ms 10.00%  internal/runtime/atomic.(*Uint32).CompareAndSwap (inline)
      10ms 10.00%   100%       20ms 20.00%  os.doInRoot[go.shape.interface { IsDir bool; ModTime time.Time; Mode io/fs.FileMode; Name string; Size int64; Sys interface {} }]
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.(*readerOnly).Read
         0     0%   100%       30ms 30.00%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkCreate
         0     0%   100%       70ms 70.00%  github.com/agent-substrate/substrate/internal/tarutil.BenchmarkExtract
         0     0%   100%       30ms 30.00%  github.com/agent-substrate/substrate/internal/tarutil.Create (inline)
         0     0%   100%       30ms 30.00%  github.com/agent-substrate/substrate/internal/tarutil.CreateFiltered
         0     0%   100%       50ms 50.00%  github.com/agent-substrate/substrate/internal/tarutil.Extract
         0     0%   100%       20ms 20.00%  github.com/agent-substrate/substrate/internal/tarutil.copyFileInto
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.copyPooled
         0     0%   100%       50ms 50.00%  github.com/agent-substrate/substrate/internal/tarutil.extractEntry
         0     0%   100%       10ms 10.00%  github.com/agent-substrate/substrate/internal/tarutil.lchownEntry
         0     0%   100%       20ms 20.00%  github.com/agent-substrate/substrate/internal/tarutil.replaceExisting
         0     0%   100%       30ms 30.00%  github.com/agent-substrate/substrate/internal/tarutil.restoreMeta
         0     0%   100%       30ms 30.00%  github.com/agent-substrate/substrate/internal/tarutil.writeTree
         0     0%   100%       30ms 30.00%  github.com/agent-substrate/substrate/internal/tarutil.writeTree.func1
         0     0%   100%       10ms 10.00%  internal/poll.(*FD).Read
         0     0%   100%       10ms 10.00%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%       20ms 20.00%  internal/syscall/unix.Fchmodat
         0     0%   100%       10ms 10.00%  internal/syscall/unix.Fstatat
         0     0%   100%       10ms 10.00%  internal/syscall/unix.Openat
         0     0%   100%       10ms 10.00%  internal/syscall/unix.Unlinkat
         0     0%   100%       10ms 10.00%  io.CopyBuffer
         0     0%   100%       10ms 10.00%  io.copyBuffer
         0     0%   100%       10ms 10.00%  os.(*File).Read
         0     0%   100%       10ms 10.00%  os.(*File).read (inline)
         0     0%   100%       20ms 20.00%  os.(*Root).Chmod (inline)
         0     0%   100%       10ms 10.00%  os.(*Root).Lchown (inline)
         0     0%   100%       20ms 20.00%  os.(*Root).Lstat
