File: ategcs.test
Build ID: ab944ee20f9719592e46460881edafb1a798a54f
Type: cpu
Time: 2026-09-19 01:21:01 UTC
Duration: 408.82ms, Total samples = 320ms (78.27%)
Showing nodes accounting for 320ms, 100% of 320ms total
Showing top 30 nodes out of 104
      flat  flat%   sum%        cum   cum%
      90ms 28.12% 28.12%       90ms 28.12%  internal/runtime/syscall/linux.Syscall6
      90ms 28.12% 56.25%       90ms 28.12%  runtime.memmove
      40ms 12.50% 68.75%       60ms 18.75%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseSourceTB
      20ms  6.25% 75.00%       20ms  6.25%  github.com/klauspost/compress/zstd.matchLen
      20ms  6.25% 81.25%       20ms  6.25%  runtime.memclrNoHeapPointers
      10ms  3.12% 84.38%       10ms  3.12%  github.com/klauspost/compress/zstd.(*blockDec).reset
      10ms  3.12% 87.50%       10ms  3.12%  github.com/klauspost/compress/zstd.sequenceDecs_decodeSync_safe_bmi2
      10ms  3.12% 90.62%       10ms  3.12%  github.com/klauspost/compress/zstd/internal/xxhash.writeBlocks
      10ms  3.12% 93.75%       10ms  3.12%  internal/runtime/atomic.(*UnsafePointer).Load
      10ms  3.12% 96.88%       10ms  3.12%  runtime.futex
      10ms  3.12%   100%       10ms  3.12%  runtime.gcMarkDone.func1
         0     0%   100%       10ms  3.12%  encoding/binary.Read
         0     0%   100%       60ms 18.75%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).Write
         0     0%   100%       40ms 12.50%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).worker
         0     0%   100%      160ms 50.00%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkReadSparseZstd
         0     0%   100%       90ms 28.12%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkWriteSparseZstd
         0     0%   100%       10ms  3.12%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.init.func1
         0     0%   100%       10ms  3.12%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.newParZstd
         0     0%   100%      100ms 31.25%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.readSparseZstd
         0     0%   100%       80ms 25.00%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseZstd
         0     0%   100%       50ms 15.62%  github.com/klauspost/compress/zstd.(*Decoder).Read
         0     0%   100%       50ms 15.62%  github.com/klauspost/compress/zstd.(*Decoder).nextBlock
         0     0%   100%       50ms 15.62%  github.com/klauspost/compress/zstd.(*Decoder).nextBlockSync
         0     0%   100%       40ms 12.50%  github.com/klauspost/compress/zstd.(*Encoder).EncodeAll
         0     0%   100%       40ms 12.50%  github.com/klauspost/compress/zstd.(*Encoder).encodeAll
         0     0%   100%       10ms  3.12%  github.com/klauspost/compress/zstd.(*blockDec).decodeBuf
         0     0%   100%       10ms  3.12%  github.com/klauspost/compress/zstd.(*blockDec).decodeCompressed
         0     0%   100%       20ms  6.25%  github.com/klauspost/compress/zstd.(*fastBase).addBlock
         0     0%   100%       20ms  6.25%  github.com/klauspost/compress/zstd.(*fastBase).matchlen (inline)
         0     0%   100%       40ms 12.50%  github.com/klauspost/compress/zstd.(*fastEncoder).Encode
