File: ategcs.test
Build ID: 0ce1bd45ce73c2c4e3600154c336bf6d4f85229d
Type: cpu
Time: 2026-09-18 13:58:46 UTC
Duration: 391.09ms, Total samples = 340ms (86.94%)
Showing nodes accounting for 340ms, 100% of 340ms total
Showing top 30 nodes out of 87
      flat  flat%   sum%        cum   cum%
     110ms 32.35% 32.35%      110ms 32.35%  internal/runtime/syscall/linux.Syscall6
      60ms 17.65% 50.00%       60ms 17.65%  runtime.memmove
      50ms 14.71% 64.71%       60ms 17.65%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseSourceTB
      40ms 11.76% 76.47%       40ms 11.76%  github.com/klauspost/compress/zstd.sequenceDecs_decodeSync_safe_bmi2
      30ms  8.82% 85.29%       30ms  8.82%  runtime.memclrNoHeapPointers
      20ms  5.88% 91.18%       20ms  5.88%  github.com/klauspost/compress/zstd/internal/xxhash.writeBlocks
      10ms  2.94% 94.12%       10ms  2.94%  github.com/klauspost/compress/zstd.(*blockEnc).encode
      10ms  2.94% 97.06%       60ms 17.65%  github.com/klauspost/compress/zstd.(*fastEncoder).Encode
      10ms  2.94%   100%       10ms  2.94%  runtime.usleep
         0     0%   100%       20ms  5.88%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).Write
         0     0%   100%       80ms 23.53%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).worker
         0     0%   100%      160ms 47.06%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkReadSparseZstd
         0     0%   100%       70ms 20.59%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkWriteSparseZstd
         0     0%   100%       10ms  2.94%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.init.func1
         0     0%   100%       10ms  2.94%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.newParZstd
         0     0%   100%       90ms 26.47%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.readSparseZstd
         0     0%   100%       60ms 17.65%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseZstd
         0     0%   100%       60ms 17.65%  github.com/klauspost/compress/zstd.(*Decoder).Read
         0     0%   100%       60ms 17.65%  github.com/klauspost/compress/zstd.(*Decoder).nextBlock
         0     0%   100%       60ms 17.65%  github.com/klauspost/compress/zstd.(*Decoder).nextBlockSync
         0     0%   100%       80ms 23.53%  github.com/klauspost/compress/zstd.(*Encoder).EncodeAll
         0     0%   100%       80ms 23.53%  github.com/klauspost/compress/zstd.(*Encoder).encodeAll
         0     0%   100%       40ms 11.76%  github.com/klauspost/compress/zstd.(*blockDec).decodeBuf
         0     0%   100%       40ms 11.76%  github.com/klauspost/compress/zstd.(*blockDec).decodeCompressed
         0     0%   100%       50ms 14.71%  github.com/klauspost/compress/zstd.(*fastBase).addBlock
         0     0%   100%       20ms  5.88%  github.com/klauspost/compress/zstd.(*fastBase).ensureHist (inline)
         0     0%   100%       10ms  2.94%  github.com/klauspost/compress/zstd.(*history).ensureBlock (inline)
         0     0%   100%       40ms 11.76%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSync
         0     0%   100%       40ms 11.76%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSyncSimple
         0     0%   100%       40ms 11.76%  github.com/klauspost/compress/zstd.decodeSyncAsm
