File: ch.test
Build ID: 7e5dab877a02d8666a12abdfeb0afd299f2e1b33
Type: alloc_space
Time: 2026-09-19 01:39:16 UTC
Showing nodes accounting for 75.87MB, 100% of 75.87MB total
Showing top 30 nodes out of 35
      flat  flat%   sum%        cum   cum%
   73.04MB 96.27% 96.27%    73.04MB 96.27%  github.com/agent-substrate/substrate/cmd/ateom-microvm/internal/ch.fill (inline)
    1.16MB  1.52% 97.79%     1.16MB  1.52%  runtime/pprof.StartCPUProfile
    0.67MB  0.89% 98.68%     0.67MB  0.89%  compress/flate.(*fastGen).addBlock
    0.50MB  0.66% 99.34%     0.50MB  0.66%  runtime.mallocgc
    0.50MB  0.66%   100%     0.50MB  0.66%  os.newFile
         0     0%   100%     0.67MB  0.89%  compress/flate.(*Writer).Close (inline)
         0     0%   100%     0.67MB  0.89%  compress/flate.(*compressor).close
         0     0%   100%     0.67MB  0.89%  compress/flate.(*compressor).deflateFast
         0     0%   100%     0.67MB  0.89%  compress/flate.(*fastEncL1).encode
         0     0%   100%     0.67MB  0.89%  compress/gzip.(*Writer).Close
         0     0%   100%    32.01MB 42.19%  github.com/agent-substrate/substrate/cmd/ateom-microvm/internal/ch.BenchmarkCopySparseRegions
         0     0%   100%    41.03MB 54.08%  github.com/agent-substrate/substrate/cmd/ateom-microvm/internal/ch.BenchmarkMergeDeltaIntoBase
         0     0%   100%     1.66MB  2.18%  main.main
         0     0%   100%     0.50MB  0.66%  os.Create (inline)
         0     0%   100%     0.50MB  0.66%  os.OpenFile
         0     0%   100%     0.50MB  0.66%  os.openFileNolog
         0     0%   100%     0.50MB  0.66%  runtime.allocm
         0     0%   100%     1.66MB  2.18%  runtime.main
         0     0%   100%     0.50MB  0.66%  runtime.mstart
         0     0%   100%     0.50MB  0.66%  runtime.mstart0
         0     0%   100%     0.50MB  0.66%  runtime.mstart1
         0     0%   100%     0.50MB  0.66%  runtime.newm
         0     0%   100%     0.50MB  0.66%  runtime.newobject
         0     0%   100%     0.50MB  0.66%  runtime.resetspinning
         0     0%   100%     0.50MB  0.66%  runtime.schedule
         0     0%   100%     0.50MB  0.66%  runtime.startm
         0     0%   100%     0.50MB  0.66%  runtime.wakep
         0     0%   100%     0.67MB  0.89%  runtime/pprof.(*profileBuilder).build
         0     0%   100%     0.67MB  0.89%  runtime/pprof.profileWriter
         0     0%   100%    36.52MB 48.13%  testing.(*B).launch
